Star_ID,time__sum_values,time__median,time__mean,time__length,time__standard_deviation,time__variance,time__root_mean_square,time__maximum,time__absolute_maximum,time__minimum,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum,flux_err__sum_values,flux_err__median,flux_err__mean,flux_err__length,flux_err__standard_deviation,flux_err__variance,flux_err__root_mean_square,flux_err__maximum,flux_err__absolute_maximum,flux_err__minimum,centroid_col__sum_values,centroid_col__median,centroid_col__mean,centroid_col__length,centroid_col__standard_deviation,centroid_col__variance,centroid_col__root_mean_square,centroid_col__maximum,centroid_col__absolute_maximum,centroid_col__minimum,centroid_row__sum_values,centroid_row__median,centroid_row__mean,centroid_row__length,centroid_row__standard_deviation,centroid_row__variance,centroid_row__root_mean_square,centroid_row__maximum,centroid_row__absolute_maximum,centroid_row__minimum,cadenceno__sum_values,cadenceno__median,cadenceno__mean,cadenceno__length,cadenceno__standard_deviation,cadenceno__variance,cadenceno__root_mean_square,cadenceno__maximum,cadenceno__absolute_maximum,cadenceno__minimum,quality__sum_values,quality__mean,quality__length,quality__standard_deviation,quality__variance,quality__root_mean_square,quality__maximum,quality__absolute_maximum,Exoplanet_Actual
TIC 143994283,234339029.27700400,2240.8635081288100,2241.406305853690,104550.0,7.469860410958900,55.7988145592111,2241.4187530970800,2254.0690103679100,2254.0690103679100,2228.752790646120,876772065.0791020,8386.0263671875,8386.150789852720,104550.0,32.10767876510590,1030.9030356832300,8386.212254241070,8650.908203125,8650.908203125,8205.7490234375,2450644.1246318800,23.31767463684080,23.43992467366700,104550.0,0.8269193571243320,0.6837956231869190,23.45450626916650,68.78804016113280,68.78804016113280,23.16413307189940,126700402.59335400,1211.8644056705600,1211.8642046231900,104550.0,0.00899087298765244,8.08357970800983E-05,1211.8642046565400,1211.9038226303100,1211.9038226303100,1211.7993855802000,148828767.58954900,1423.520672999510,1423.5176240033400,104550.0,0.02614377640604330,0.0006834970447691840,1423.5176242434100,1423.6419574458800,1423.6419574458800,1423.3853766903200,457956228682.0,4377915.5,4380260.436939260,104550.0,32269.482066901400,1041319472.8660700,4380379.300344690,4434963.0,4434963.0,4325598.0,13201984.0,126.27435676709700,104550.0,670.5858945246630,449685.44193544200,682.3713469309700,5184.0,5184.0,0
TIC 403287048,1585052.063273790,1337.9837212676500,1338.7264047920500,1184.0,8.133961324009130,66.1613268204763,1338.751115112240,1353.1605211594500,1353.1605211594500,1325.348341601800,4753389.636230470,4012.9791259765600,4014.68719276222,1184.0,11.658075192539100,135.91071719489600,4014.7041194148000,4039.788818359380,4039.788818359380,3983.266357421880,2342.36420750618,1.9792991876602200,1.9783481482315700,1184.0,0.016484046760150900,0.0002717237975908410,1.978416821453170,2.0237720012664800,2.0237720012664800,1.9454418420791600,1288654.530704850,1088.3938235632900,1088.3906509331500,1184.0,0.009751532937231410,9.5092394625909E-05,1088.3906509768400,1088.4113174198800,1088.4113174198800,1088.3730177207500,1467959.7697627300,1239.8300375257600,1239.8308866239200,1184.0,0.004178688728506460,1.74614394897469E-05,1239.830886630970,1239.8540907157100,1239.8540907157100,1239.824451191650,6322739.0,5304.5,5340.1511824324300,1184.0,390.4345983946630,152439.17562360200,5354.40508617513,6033.0,6033.0,4698.0,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,0
TIC 448589187,39775069.741284300,2293.898584274370,2293.436530086160,17343.0,7.3730377258858600,54.36168530733620,2293.448381633860,2305.993000236400,2305.993000236400,2280.908117486220,33127152.196533200,1902.0736083984400,1910.1166001576000,17343.0,326.4517662744850,106570.75570373100,1937.8122153349500,13860.7412109375,13860.7412109375,1844.265869140630,106553.23441267000,5.756845474243160,6.143875593188610,17343.0,1.2980694319110100,1.6849842500617600,6.279505677570530,12.991277694702100,12.991277694702100,5.7069244384765600,28775007.872532500,1659.1719402929800,1659.1713009590300,17343.0,0.0080612121399943,6.49831411659915E-05,1659.1713009786100,1659.192014510950,1659.192014510950,1659.0219744013700,19902272.96195350,1147.5683029598200,1147.5680656145700,17343.0,0.02677737572924180,0.0007170278509449870,1147.568065926980,1147.703771494300,1147.703771494300,1147.5005722885900,13310810544.0,767836.0,767503.3468258090,17343.0,5308.552930989540,28180734.221117600,767521.7053106960,776544.0,776544.0,758483.0,7566032.0,436.25854811739600,17343.0,1263.502573299420,1596438.752734260,1336.6975250743000,4096.0,4096.0,1
TIC 87597187,54221823.79361880,2923.5974067808300,2923.4821692790600,18547.0,7.673408641195680,58.881200174776500,2923.4922396498300,2936.6918275561400,2936.6918275561400,2910.2693736448200,15806855.174804700,850.5394287109380,852.25940447537,18547.0,58.046417199013300,3369.386549641910,854.2338550223550,4168.6298828125,4168.6298828125,794.773681640625,84787.38181591030,4.299814224243160,4.571487670022660,18547.0,0.7629675698108560,0.5821195125830830,4.634718872785310,8.583050727844240,8.583050727844240,4.229773998260500,20983559.569504700,1131.3713382135300,1131.3721663613900,18547.0,0.006233113452488110,3.88517033115882E-05,1131.3721663785600,1131.4765372561000,1131.4765372561000,1131.3538150438800,25200017.769910100,1358.7138994150500,1358.7112616547200,18547.0,0.016406648488628100,0.00026917811462940300,1358.7112617537800,1358.7503386694700,1358.7503386694700,1358.538674448480,22648410480.0,1221219.0,1221136.0586617800,18547.0,5524.804866877100,30523468.817068800,1221148.5565781300,1230647.0,1230647.0,1211623.0,8048752.0,433.96516956920300,18547.0,1260.6232300768500,1589170.9282093900,1333.2279237282000,4096.0,4096.0,0
TIC 307733361,41101253.61478720,2511.5717268158500,2512.301565696040,16360.0,7.224942676933270,52.199796684971700,2512.3119545143000,2524.440366094410,2524.440366094410,2500.1865843784600,226136429.29003900,13650.11279296880,13822.520127753,16360.0,3045.26363795166,9273630.624630580,14153.99919834560,119986.5078125,119986.5078125,13472.7509765625,224677.95820236200,13.61129903793340,13.73337152826170,16360.0,0.907227125993967,0.8230610581392730,13.763304639199500,36.73963928222660,36.73963928222660,13.386229515075700,2619972.4380795700,160.14624081952100,160.1450145525410,16360.0,0.011109744483743300,0.0001234264224940640,160.14501493789900,160.1706579978180,160.1706579978180,160.10635308553000,31399449.943520800,1919.283838902500,1919.2817813888000,16360.0,0.05884892535853990,0.0034631960158550000,1919.2817822910100,1919.3973440949800,1919.3973440949800,1919.1475513506900,15134471200.0,924564.5,925089.9266503670,16360.0,5201.444492875830,27055024.812468200,925104.5494509220,933829.0,933829.0,916368.0,4143456.0,253.26748166259200,16360.0,1042.8460799880600,1087527.9465464700,1073.1599898496900,32768.0,32768.0,1
TIC 367099243,45739127.98386870,2730.285240263290,2730.8572442455500,16749.0,7.226555274151720,52.223101130370000,2730.866805896900,2743.074325457650,2743.074325457650,2718.6337328415900,158729822.89941400,9477.943359375,9476.973126718850,16749.0,17.11665424458180,292.97985252855900,9476.988584165530,9544.2783203125,9544.2783203125,9388.5537109375,199773.58950328800,11.784433364868200,11.927493552050200,16749.0,0.47753870675776800,0.22804321645188100,11.93704928575950,13.245024681091300,13.245024681091300,11.35106372833250,12251157.588975000,731.4560964728370,731.4560623902940,16749.0,0.004398760212336360,1.93490914056334E-05,731.4560624035210,731.471049430225,731.471049430225,731.4319357415530,11703105.53698910,698.7324612185460,698.7345833774600,16749.0,0.013931933085974400,0.0001940987595120700,698.7345835163530,698.7783079232470,698.7783079232470,698.6996622903380,18129968980.0,1082039.0,1082450.8316914400,16749.0,5203.052512642240,27071755.449312700,1082463.3364622300,1091247.0,1091247.0,1073650.0,4354048.0,259.95868410054300,16749.0,998.6051535199180,997212.2526365390,1031.8869948186300,4096.0,4096.0,0
TIC 170103435,24577764.444108000,1504.707391560760,1503.8710422877100,16343.0,7.307205616524300,53.39525392216430,1503.8887947868500,1516.0878502494500,1516.0878502494500,1491.633796949290,278048711.4707030,17012.38671875,17013.321389628800,16343.0,49.77236648679130,2477.2884656954600,17013.394193848100,19839.623046875,19839.623046875,16949.716796875,240925.12734508500,14.73659610748290,14.74179326592950,16343.0,0.04108753002642900,0.0016881851236727100,14.741850524290600,15.282267570495600,15.282267570495600,14.701440811157200,27788233.92472010,1700.3144453433300,1700.3141360044100,16343.0,0.007777993802532550,6.04971875922347E-05,1700.3141360222000,1700.3311010274200,1700.3311010274200,1700.282468618720,25379240.718341400,1552.9129801118800,1552.911994024440,16343.0,0.01991987574414440,0.0003968014496621520,1552.9119941522000,1552.9629372937400,1552.9629372937400,1552.8624023155500,3252548414.0,199620.0,199017.83112035700,16343.0,5261.212801222490,27680360.139747400,199087.36138688200,207814.0,207814.0,190207.0,592.0,0.03622345958514350,16343.0,4.014616838995140,16.117148363943300,4.014780255875490,512.0,512.0,0
TIC 441334829,54098266.40749120,3001.3904059908000,3001.290785436410,18025.0,7.470729098083390,55.81179325694990,3001.3000833869900,3014.154510026840,3014.154510026840,2988.442846954330,42311654.623046900,2348.04345703125,2347.3872190317300,18025.0,16.164038128355400,261.27612861492600,2347.4428709133900,2391.778076171880,2391.778076171880,2282.73681640625,126366.12226390800,6.860194206237790,7.01060317691586,18025.0,0.47641960636899500,0.226975641332788,7.026772555413730,9.83354663848877,9.83354663848877,6.8226637840271,2672733.504728290,148.27919598408000,148.27925130254000,18025.0,0.002625780368036220,6.89472254116444E-06,148.27925132578900,148.29026570091400,148.29026570091400,148.26949890115500,30770455.416278600,1707.1003640568000,1707.098774828220,18025.0,0.012332246937841400,0.00015208431453589800,1707.0987748727600,1707.1341026797600,1707.1341026797600,1707.0749386462700,23020814176.0,1277232.0,1277160.2871567300,18025.0,5378.80918671183,28931588.26705560,1277171.6136363700,1286422.0,1286422.0,1267910.0,4804608.0,266.55245492371700,18025.0,1010.3210599317800,1020748.6441416800,1044.8917912241200,4096.0,4096.0,0
TIC 120317234,47159643.56641110,2404.295121181780,2404.754656387290,19611.0,8.279641670625440,68.55246619395720,2404.768909871080,2418.856239419180,2418.856239419180,2390.656081962900,196698914.84570300,10030.5595703125,10030.029822329500,19611.0,15.615881064992700,243.8557414359990,10030.041978604100,10094.822265625,10094.822265625,9941.50390625,232789.354514122,11.947063446044900,11.870345954521500,19611.0,0.23173125879875300,0.05369937630445480,11.872607651915800,12.2655611038208,12.2655611038208,11.37912368774410,12187700.568867800,621.4703681464530,621.4726719120800,19611.0,0.008489333963347620,7.20687911412475E-05,621.4726719700620,621.5108090344090,621.5108090344090,621.4517476011810,7833757.042460670,399.4545718882000,399.45729654075100,19611.0,0.01752017836643340,0.00030695664999164000,399.4572969249680,399.4978691349310,399.4978691349310,399.4073456457030,16623340407.0,847323.0,847653.8884809550,19611.0,5961.308567349040,35537199.835149000,847674.8503150940,857807.0,857807.0,837503.0,0.0,0.0,19611.0,0.0,0.0,0.0,0.0,0.0,1
TIC 250707118,338839766.13446800,2896.3034693815400,2896.1901460273300,116995.0,8.048496076256760,64.77828908952040,2896.201329368340,2910.05355012084,2910.05355012084,2882.333675223160,478204451.23877000,4087.78955078125,4087.3922068359300,116995.0,20.414493540332300,416.7515465082710,4087.443186644870,4243.62939453125,4243.62939453125,3970.93115234375,1994588.5820941900,16.946704864502000,17.048494227054100,116995.0,0.3081964887895590,0.09498507570221290,17.051279731609500,38.18681335449220,38.18681335449220,16.75141716003420,17211003.793199500,147.10934814753200,147.10888322748400,116995.0,0.007779330914657100,6.05179894797396E-05,147.10888343317500,147.14911478491300,147.14911478491300,147.07152586039200,93582970.54437930,799.8868735688140,799.8886323721470,116995.0,0.012865280857909600,0.00016551545155289600,799.8886324756090,799.9803077316520,799.9803077316520,799.8211068036880,843407550576.0,7209409.0,7208919.6168725200,116995.0,34769.54220912590,1208921065.4321900,7209003.465361550,7268810.0,7268810.0,7149060.0,14295872.0,122.19216205820800,116995.0,671.8567869979780,451391.54223524600,682.8780760162870,5120.0,5120.0,1
